IPK,Kehadiran,Jam_Belajar,Organisasi,Penghasilan_Ortu,Jenis_Kelamin,Status_Beasiswa,Lulus_Tepat_Waktu
3.79,65,12,Ya,5200000,Perempuan,Ya,Ya
3.8,80,5,Tidak,6100000,Perempuan,Ya,Ya
4.0,82,16,Tidak,2550000,Laki-laki,Tidak,Ya
2.71,83,14,Tidak,2400000,Perempuan,Tidak,Tidak
2.97,87,14,Tidak,2550000,Perempuan,Tidak,Ya
3.62,97,9,Ya,2200000,Laki-laki,Ya,Ya
3.14,84,14,Tidak,2750000,Laki-laki,Ya,Ya
3.33,100,17,Ya,5600000,Perempuan,Tidak,Ya
3.22,61,8,Ya,2650000,Laki-laki,Tidak,Tidak
3.02,79,11,Ya,3900000,Laki-laki,Tidak,Ya
3.31,73,8,Tidak,12000000,Laki-laki,Tidak,Ya
3.13,89,4,Ya,3500000,Perempuan,Tidak,Ya
2.54,67,4,Ya,8650000,Perempuan,Tidak,Tidak
2.66,84,12,Tidak,2250000,Perempuan,Ya,Tidak
3.29,73,17,Tidak,2000000,Laki-laki,Tidak,Ya
3.51,88,10,Tidak,4050000,Laki-laki,Tidak,Ya
3.31,79,18,Tidak,2700000,Perempuan,Tidak,Ya
2.76,89,9,Ya,2150000,Laki-laki,Tidak,Ya
3.38,85,6,Tidak,3200000,Laki-laki,Ya,Ya
3.11,89,9,Tidak,3900000,Perempuan,Tidak,Tidak
3.05,84,8,Ya,2500000,Perempuan,Tidak,Ya
3.76,60,20,Tidak,1950000,Perempuan,Tidak,Ya
3.1,84,11,Tidak,6750000,Perempuan,Tidak,Ya
3.04,73,8,Ya,4400000,Perempuan,Tidak,Tidak
3.09,85,4,Tidak,3750000,Laki-laki,Ya,Tidak
3.07,97,5,Ya,2500000,Laki-laki,Ya,Ya
2.96,89,15,Ya,2300000,Perempuan,Ya,Ya
3.6,81,7,Ya,6150000,Laki-laki,Tidak,Ya
2.85,72,2,Ya,2250000,Laki-laki,Tidak,Tidak
3.52,82,11,Ya,4000000,Laki-laki,Tidak,Ya
2.93,61,13,Ya,2500000,Laki-laki,Tidak,Ya
2.65,99,8,Tidak,3800000,Perempuan,Tidak,Ya
3.23,68,13,Ya,3000000,Laki-laki,Ya,Ya
3.21,78,10,Tidak,3200000,Laki-laki,Tidak,Tidak
3.36,67,10,Tidak,4700000,Perempuan,Tidak,Ya
2.72,74,16,Tidak,2800000,Perempuan,Tidak,Ya
3.3,100,9,Tidak,5600000,Laki-laki,Tidak,Ya
3.22,82,10,Tidak,2750000,Perempuan,Tidak,Ya
4.0,100,17,Tidak,2400000,Laki-laki,Ya,Ya
2.48,78,3,Ya,4200000,Laki-laki,Ya,Tidak
2.69,90,13,Tidak,4750000,Perempuan,Tidak,Ya
2.89,86,10,Tidak,5600000,Perempuan,Tidak,Tidak
2.37,69,14,Ya,2600000,Perempuan,Tidak,Tidak
3.39,90,14,Tidak,7600000,Perempuan,Tidak,Ya
2.54,69,13,Ya,5150000,Perempuan,Tidak,Tidak
2.91,90,8,Ya,4400000,Laki-laki,Ya,Ya
3.29,92,16,Ya,4250000,Laki-laki,Ya,Ya
2.83,81,11,Ya,3200000,Laki-laki,Tidak,Ya
2.69,85,14,Tidak,6950000,Laki-laki,Tidak,Ya
3.08,75,10,Tidak,2700000,Laki-laki,Ya,Tidak
3.03,86,10,Ya,2100000,Perempuan,Tidak,Ya
2.54,76,14,Ya,1900000,Perempuan,Ya,Ya
3.08,99,12,Ya,3400000,Laki-laki,Ya,Ya
3.39,79,15,Tidak,3750000,Perempuan,Ya,Ya
